2023-10-16 17:06:21,823 INFO    StreamThr :3085811 [internal.py:wandb_internal():86] W&B internal server running at pid: 3085811, started at: 2023-10-16 17:06:21.821787
2023-10-16 17:06:21,826 DEBUG   HandlerThread:3085811 [handler.py:handle_request():146] handle_request: status
2023-10-16 17:06:21,828 INFO    WriterThread:3085811 [datastore.py:open_for_write():85] open: /scratch/jl14310/nanoGPTenv/nanoGPT/wandb/offline-run-20231016_170621-9gj7vy9n/run-9gj7vy9n.wandb
2023-10-16 17:06:21,916 DEBUG   HandlerThread:3085811 [handler.py:handle_request():146] handle_request: run_start
2023-10-16 17:06:21,946 DEBUG   HandlerThread:3085811 [system_info.py:__init__():32] System info init
2023-10-16 17:06:21,946 DEBUG   HandlerThread:3085811 [system_info.py:__init__():47] System info init done
2023-10-16 17:06:21,946 INFO    HandlerThread:3085811 [system_monitor.py:start():194] Starting system monitor
2023-10-16 17:06:21,947 INFO    SystemMonitor:3085811 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-16 17:06:21,947 INFO    HandlerThread:3085811 [system_monitor.py:probe():214] Collecting system info
2023-10-16 17:06:21,950 INFO    SystemMonitor:3085811 [interfaces.py:start():190] Started cpu monitoring
2023-10-16 17:06:21,957 INFO    SystemMonitor:3085811 [interfaces.py:start():190] Started disk monitoring
2023-10-16 17:06:21,957 INFO    SystemMonitor:3085811 [interfaces.py:start():190] Started gpu monitoring
2023-10-16 17:06:21,958 INFO    SystemMonitor:3085811 [interfaces.py:start():190] Started memory monitoring
2023-10-16 17:06:21,958 INFO    SystemMonitor:3085811 [interfaces.py:start():190] Started network monitoring
2023-10-16 17:06:21,972 DEBUG   HandlerThread:3085811 [system_info.py:probe():196] Probing system
2023-10-16 17:06:21,973 DEBUG   HandlerThread:3085811 [system_info.py:_probe_git():181] Probing git
2023-10-16 17:06:21,979 DEBUG   HandlerThread:3085811 [system_info.py:_probe_git():189] Probing git done
2023-10-16 17:06:21,979 DEBUG   HandlerThread:3085811 [system_info.py:probe():244] Probing system done
