2023-10-24 14:23:19,925 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Current SDK version is 0.15.12
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Configure stats pid to 3775659
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Loading settings from /home/jl14310/.config/wandb/settings
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Loading settings from /scratch/jl14310/nanoGPTenv/nanoGPT/wandb/settings
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': '/scratch/jl14310/nanoGPTenv/nanoGPT/train.py', 'program': '/scratch/jl14310/nanoGPTenv/nanoGPT/train.py'}
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:_log_setup():528] Logging user logs to /scratch/jl14310/nanoGPTenv/nanoGPT/wandb/offline-run-20231024_142319-asjwokq3/logs/debug.log
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:_log_setup():529] Logging internal logs to /scratch/jl14310/nanoGPTenv/nanoGPT/wandb/offline-run-20231024_142319-asjwokq3/logs/debug-internal.log
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:init():568] calling init triggers
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:init():575] wandb.init called with sweep_config: {}
config: {'out_dir': 'out', 'eval_interval': 1000, 'log_interval': 10, 'eval_iters': 200, 'eval_only': False, 'always_save_checkpoint': True, 'init_from': 'scratch', 'wandb_log': True, 'wandb_project': 'owt', 'wandb_run_name': 'gpt2-124M', 'dataset': 'openwebtext', 'gradient_accumulation_steps': 40, 'batch_size': 12, 'block_size': 1024, 'n_layer': 12, 'n_head': 12, 'n_embd': 768, 'dropout': 0.0, 'bias': False, 'learning_rate': 0.0006, 'max_iters': 600000, 'weight_decay': 0.1, 'beta1': 0.9, 'beta2': 0.95, 'grad_clip': 1.0, 'decay_lr': True, 'warmup_iters': 2000, 'lr_decay_iters': 600000, 'min_lr': 6e-05, 'backend': 'nccl', 'device': 'cuda', 'dtype': 'float16', 'compile': True}
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:init():618] starting backend
2023-10-24 14:23:19,926 INFO    MainThread:3775659 [wandb_init.py:init():622] setting up manager
2023-10-24 14:23:19,927 INFO    MainThread:3775659 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-10-24 14:23:19,928 INFO    MainThread:3775659 [wandb_init.py:init():628] backend started and connected
2023-10-24 14:23:19,929 INFO    MainThread:3775659 [wandb_init.py:init():720] updated telemetry
2023-10-24 14:23:20,018 INFO    MainThread:3775659 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2023-10-24 14:23:20,021 INFO    MainThread:3775659 [wandb_init.py:init():804] starting run threads in backend
2023-10-24 14:23:25,424 INFO    MainThread:3775659 [wandb_run.py:_console_start():2199] atexit reg
2023-10-24 14:23:25,424 INFO    MainThread:3775659 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-10-24 14:23:25,424 INFO    MainThread:3775659 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-10-24 14:23:25,424 INFO    MainThread:3775659 [wandb_run.py:_redirect():2144] Redirects installed.
2023-10-24 14:23:25,425 INFO    MainThread:3775659 [wandb_init.py:init():845] run started, returning control to user process
2023-10-24 14:24:28,748 WARNING MsgRouterThr:3775659 [router.py:message_loop():77] message_loop has been closed
