2023-10-16 17:11:08,696 INFO    StreamThr :3634311 [internal.py:wandb_internal():86] W&B internal server running at pid: 3634311, started at: 2023-10-16 17:11:08.694902
2023-10-16 17:11:08,698 DEBUG   HandlerThread:3634311 [handler.py:handle_request():146] handle_request: status
2023-10-16 17:11:08,700 INFO    WriterThread:3634311 [datastore.py:open_for_write():85] open: /scratch/jl14310/nanoGPTenv/nanoGPT/wandb/offline-run-20231016_171108-vq2ut5u4/run-vq2ut5u4.wandb
2023-10-16 17:11:08,760 DEBUG   HandlerThread:3634311 [handler.py:handle_request():146] handle_request: run_start
2023-10-16 17:11:08,782 DEBUG   HandlerThread:3634311 [system_info.py:__init__():32] System info init
2023-10-16 17:11:08,782 DEBUG   HandlerThread:3634311 [system_info.py:__init__():47] System info init done
2023-10-16 17:11:08,782 INFO    HandlerThread:3634311 [system_monitor.py:start():194] Starting system monitor
2023-10-16 17:11:08,782 INFO    SystemMonitor:3634311 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-10-16 17:11:08,782 INFO    HandlerThread:3634311 [system_monitor.py:probe():214] Collecting system info
2023-10-16 17:11:08,793 INFO    SystemMonitor:3634311 [interfaces.py:start():190] Started cpu monitoring
2023-10-16 17:11:08,802 INFO    SystemMonitor:3634311 [interfaces.py:start():190] Started disk monitoring
2023-10-16 17:11:08,802 DEBUG   HandlerThread:3634311 [system_info.py:probe():196] Probing system
2023-10-16 17:11:08,809 INFO    SystemMonitor:3634311 [interfaces.py:start():190] Started gpu monitoring
2023-10-16 17:11:08,810 DEBUG   HandlerThread:3634311 [system_info.py:_probe_git():181] Probing git
2023-10-16 17:11:08,810 INFO    SystemMonitor:3634311 [interfaces.py:start():190] Started memory monitoring
2023-10-16 17:11:08,811 INFO    SystemMonitor:3634311 [interfaces.py:start():190] Started network monitoring
2023-10-16 17:11:08,817 DEBUG   HandlerThread:3634311 [system_info.py:_probe_git():189] Probing git done
2023-10-16 17:11:08,817 DEBUG   HandlerThread:3634311 [system_info.py:probe():244] Probing system done
